ra,dec,id,name,mag,bv
33.25,8.846667, 649, 65Xi 1Cet,4.37,0.89
33.197917,-2.393611, 650, 66    Cet,5.54,0.57
33.25375,-21.000278, 651,HR 651,5.86,1.01
33.227083,-30.723889, 652,   Mu  For,5.28,-0.02
33.984167,33.358889, 655,  7    Tri,5.28,-0.01
33.941667,25.783056, 656, 20    Ari,5.79,0.44
33.928333,25.043056, 657, 21    Ari,5.58,0.49
33.633333,-41.166667, 659,HR 659,5.91,0.97
34.263333,34.224167, 660,  8Del Tri,4.87,0.61
34.499583,57.899722, 661,  8    Per,5.75,1.17
34.51875,57.516667, 662,  7    Per,5.98,1.05
34.32875,33.847222, 664,  9Gam Tri,4.01,0.02
34.245833,-6.422222, 666, 67    Cet,5.51,0.96
33.56125,-67.841667, 667,   Pi 1Hyi,5.55,1.55
34.53125,19.901111, 669, 22The Ari,5.62,0.01
34.82,47.38, 670, 62    And,5.3,-0.01
34.505833,1.757778, 672,HR 672,5.58,0.6
34.1275,-51.512222, 674,   Phi Eri,3.56,-0.12
34.7375,28.6425, 675, 10    Tri,5.03,0.04
33.86875,-67.746389, 678,   Pi 2Hyi,5.69,1.3
34.83625,-2.9775, 681, 68Omi Cet,3.04,1.42
35.2425,50.151389, 682, 63    And,5.59,-0.13
35.589167,55.845556, 685,  9    Per,5.17,0.37
35.709583,41.396389, 687,HR 687,5.82,0.27
34.97625,-55.944722, 688,HR 688,5.81,1.55
35.485833,0.395833, 689, 69    Cet,5.28,1.65
35.551667,-0.885, 691, 70    Cet,5.42,0.31
35.505833,-10.777778, 692,HR 692,5.46,0.35
35.520833,-17.662222, 693,HR 693,5.87,1.23
36.10375,50.006667, 694, 64    And,5.19,0.98
35.635833,-23.816389, 695,   Kap For,5.2,0.6
36.405833,50.278611, 699, 65    And,4.71,1.53
35.7275,-51.092222, 701,HR 701,5.92,0.22
36.204167,10.610556, 702, 24Xi  Ari,5.47,-0.1
35.437083,-68.659444, 705,   Del Hyi,4.09,0.03
37.266667,67.4025, 707,   Iot Cas,4.52,0.12
36.4875,-12.290556, 708, 72Rho Cet,4.89,-0.03
36.50125,-15.341111, 710,HR 710,5.83,0.15
36.865417,31.801389, 712, 11    Tri,5.54,1.12
36.646667,-20.042778, 713,HR 713,5.88,1.26
36.224583,-60.311944, 714,   Lam Hor,5.35,0.39
35.717917,-73.645833, 715,   Kap Hyi,5.01,1.09
37.041667,29.669444, 717, 12    Tri,5.29,
37.039583,8.46, 718, 73Xi 2Cet,4.28,-0.06
37.202083,29.931944, 720, 13    Tri,5.89,0.58
36.74625,-47.703889, 721,   Kap Eri,4.25,-0.14
37.007083,-33.811111, 724,   Phi For,5.14,0.1
37.635,25.235, 728,HR 728,5.92,0.41
37.688333,0.255278, 732,HR 732,6.0,0.17
38.025833,36.147222, 736, 14    Tri,5.15,1.47
37.875417,2.267222, 737,HR 737,5.25,1.27
38.21875,34.5425, 738,HR 738,5.83,1.07
38.039167,-1.035, 739, 75    Cet,5.35,1.02
38.021667,-15.244722, 740, 76Sig Cet,4.75,0.45
39.508333,72.818333, 743,HR 743,5.16,0.88
38.279167,-34.65, 744,   Lam1For,5.9,1.06
39.400417,65.745556, 747,HR 747,5.78,1.56
38.911667,37.312222, 748,HR 748,5.71,1.39
38.46125,-28.2325, 749,   Ome For,4.9,-0.05
38.945,34.6875, 750, 15    Tri,5.35,1.66
38.677917,-7.859444, 752, 77    Cet,5.75,1.4
39.020417,6.886944, 753,HR 753,5.82,0.98
